legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin
2034;zachary.mills;abcd12345;21/5/2021;21/6/2025
1500;gloria.washington;abcd1234;31/3/2024;
5343;timothy.harrison;Abcd1234;6/9/2023;17/5/2025
7976;michaela.banks;)sC2(Ee@AK2;4/9/2022;17/5/2025
2191;sean.parker;u6BLDOBc!U2;11/7/2021;17/5/2025
2316;craig.haynes;1xg0I(+u)X;4/4/2021;14/1/2025
2448;taylor.reynolds;abcd1234;27/5/2021;
2376;brandon.morrison;h9HH$hs0*3;8/12/2021;16/9/2024
3018;james.marsh;uw1E#bxu^b;29/9/2021;22/2/2025
2945;monica.mitchell;$*h0TGOn&#2;23/11/2022;18/5/2025
1234;julian.diaz;abcd1234;17/5/2025;
